순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,5716626
2,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,4242677
3,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,3797023
4,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,3269164
5,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,2820236
6,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,2630467
7,경기도,용인시 기흥구,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,2418097
8,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,2359499
9,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,2354277
10,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,2084684
11,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,1854660
12,경기도,남양주시,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,1806570
13,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,1679044
14,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,1669102
15,경기도,안성시,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,1400371
16,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,1307299
17,경기도,시흥시,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,1201178
18,경기도,수원시 영통구,갤러리아백화점광교점,경기 수원시 영통구 광교중앙로 124-0,쇼핑,백화점,1172321
19,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,1150902
20,경기도,고양시 일산서구,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,1125044
21,경기도,하남시,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑,쇼핑몰,1068436
22,경기도,고양시 덕양구,행신역,경기 고양시 덕양구 소원로 102-0,기타관광,교통시설,1044146
23,경기도,부천시,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰,987603
24,경기도,고양시 일산서구,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,984723
25,경기도,고양시 일산동구,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,966313
26,경기도,의왕시,롯데프리미엄아울렛타임빌라스,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰,956605
27,경기도,수원시 권선구,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,937009
28,경기도,부천시,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,907604
29,경기도,수원시 권선구,수원버스터미널,경기 수원시 권선구 경수대로 270-0,기타관광,교통시설,895890
30,경기도,수원시 팔달구,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,892324
31,경기도,화성시,롯데백화점동탄점,경기 화성시 동탄역로 160-0,쇼핑,백화점,865576
32,경기도,화성시,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양),849827
33,경기도,과천시,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,843881
34,경기도,용인시 기흥구,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,829555
35,경기도,의정부시,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,814850
36,경기도,파주시,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,812131
37,경기도,양평군,두물머리,경기도 양평군 양서면 두물머리길 125,기타관광,기타관광,772059
38,경기도,수원시 영통구,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,747152
39,경기도,수원시 권선구,롯데백화점수원점,경기 수원시 권선구 세화로 118-0,쇼핑,백화점,745408
40,경기도,파주시,마장호수출렁다리,경기 파주시 광탄면 기산로 313,기타관광,기타관광,735481
41,경기도,수원시 팔달구,수원역,경기 수원시 팔달구 덕영대로 924-0,기타관광,교통시설,726232
42,경기도,안양시 동안구,롯데백화점평촌점,경기 안양시 동안구 시민대로 180-0,쇼핑,백화점,723199
43,경기도,용인시 수지구,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,721870
44,경기도,성남시 분당구,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,678010
45,경기도,고양시 일산동구,라페스타,경기 고양시 일산동구 무궁화로 20-11,쇼핑,쇼핑몰,662440
46,경기도,고양시 일산서구,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,650643
47,경기도,부천시,롯데백화점중동점,경기 부천시 길주로 300-0,쇼핑,백화점,646152
48,경기도,수원시 영통구,롯데아울렛광교점,경기 수원시 영통구 도청로 10-0,쇼핑,쇼핑몰,628731
49,경기도,의왕시,백운호수,경기 의왕시 학현로 0-0,자연관광,자연경관(하천/해양),624654
50,경기도,안양시 동안구,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,616788
51,경기도,광주시,화담숲,경기 광주시 도척윗로 278-1,문화관광,테마공원,603338
52,경기도,이천시,이천종합버스터미널,경기 이천시 이섭대천로 1200-0,기타관광,교통시설,597690
53,경기도,김포시,대명포구,경기도 김포시 대곶면 대명항1로 107-1,자연관광,자연경관(하천/해양),590339
54,경기도,과천시,서울랜드,경기 과천시 광명로 181-0,문화관광,테마공원,583032
55,경기도,구리시,롯데백화점구리점,경기 구리시 경춘로 261-0,쇼핑,백화점,571667
56,경기도,성남시 분당구,AK플라자분당,경기 성남시 분당구 황새울로360번길 42-0,쇼핑,백화점,571346
57,경기도,남양주시,평내호평역,경기 남양주시 경춘로 1375-0,기타관광,교통시설,569292
58,경기도,화성시,동탄호수공원,경기 화성시 동탄순환대로 69,문화관광,도시공원,554006
59,경기도,부천시,부천터미널소풍,경기 부천시 송내대로 239-0,기타관광,교통시설,552199
60,경기도,화성시,제부도,경기 화성시 서신면 제부리,자연관광,자연경관(하천/해양),533511
61,경기도,가평군,아침고요수목원,경기 가평군 수목원로 432-0,문화관광,테마공원,524707
62,경기도,파주시,금촌역,경기 파주시 새꽃로 193-0,기타관광,교통시설,523092
63,경기도,남양주시,퇴계원역,경기 남양주시 경춘북로 545-0,기타관광,교통시설,519844
64,경기도,안산시 단원구,대부도,경기 안산시 단원구 감나무길 0-0,자연관광,자연경관(하천/해양),511789
65,경기도,고양시 일산동구,롯데백화점일산점,경기 고양시 일산동구 중앙로 1283-0,쇼핑,백화점,509159
66,경기도,파주시,평화누리,경기 파주시 임진각로 148-40,문화관광,도시공원,502845
